Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,3.70,3.70,3.66,3.66,3.66,110079
2024-07-02,3.66,3.68,3.66,3.68,3.68,138983
2024-07-03,3.68,3.69,3.65,3.65,3.65,139590
2024-07-04,3.65,3.69,3.65,3.68,3.68,178437
2024-07-05,3.68,3.75,3.68,3.74,3.74,95407
2024-07-08,3.74,3.75,3.74,3.75,3.75,159632
2024-07-09,3.75,3.78,3.74,3.78,3.78,139295
2024-07-10,3.78,3.82,3.77,3.81,3.81,195263
2024-07-11,3.81,3.82,3.78,3.79,3.79,92175
2024-07-12,3.79,3.80,3.79,3.80,3.80,166304
2024-07-15,3.80,3.83,3.79,3.82,3.82,126220
2024-07-16,3.82,3.86,3.81,3.86,3.86,99054
2024-07-17,3.86,3.86,3.84,3.85,3.85,170540
2024-07-18,3.85,3.85,3.83,3.83,3.83,224508
2024-07-19,3.83,3.83,3.81,3.82,3.82,161769
2024-07-22,3.82,3.83,3.76,3.77,3.77,145190
2024-07-23,3.77,3.79,3.76,3.78,3.78,244016
2024-07-24,3.78,3.82,3.78,3.82,3.82,211324
2024-07-25,3.82,3.83,3.81,3.83,3.83,97864
2024-07-26,3.83,3.83,3.78,3.79,3.79,236145
2024-07-29,3.79,3.79,3.76,3.77,3.77,90574
2024-07-30,3.77,3.82,3.76,3.81,3.81,172401
2024-07-31,3.81,3.84,3.80,3.83,3.83,144403
2024-08-01,3.83,3.85,3.83,3.85,3.85,111176
2024-08-02,3.85,3.86,3.81,3.81,3.81,158823
2024-08-05,3.81,3.81,3.75,3.76,3.76,225283
2024-08-06,3.76,3.81,3.75,3.80,3.80,130127
2024-08-07,3.80,3.84,3.79,3.84,3.84,131126
2024-08-08,3.84,3.84,3.77,3.78,3.78,156622
2024-08-09,3.78,3.79,3.72,3.73,3.73,190316
2024-08-12,3.73,3.74,3.68,3.69,3.69,198489
2024-08-13,3.69,3.74,3.68,3.73,3.73,124067
2024-08-14,3.73,3.76,3.72,3.75,3.75,192259
2024-08-15,3.75,3.76,3.72,3.73,3.73,179431
2024-08-16,3.73,3.73,3.67,3.68,3.68,166309
2024-08-19,3.68,3.69,3.62,3.63,3.63,113378
2024-08-20,3.63,3.63,3.60,3.60,3.60,112475
2024-08-21,3.60,3.64,3.60,3.64,3.64,138704
2024-08-22,3.64,3.65,3.63,3.64,3.64,145443
2024-08-23,3.64,3.65,3.58,3.59,3.59,223285
2024-08-26,3.59,3.60,3.59,3.59,3.59,119567
2024-08-27,3.59,3.60,3.56,3.57,3.57,238362
2024-08-28,3.57,3.57,3.53,3.53,3.53,157001
2024-08-29,3.53,3.56,3.52,3.56,3.56,91314
2024-08-30,3.56,3.59,3.55,3.59,3.59,194478
2024-09-02,3.59,3.61,3.58,3.60,3.60,216171
2024-09-03,3.60,3.61,3.56,3.57,3.57,244533
2024-09-04,3.57,3.57,3.54,3.55,3.55,248696
2024-09-05,3.55,3.57,3.55,3.57,3.57,136481
2024-09-06,3.57,3.58,3.52,3.52,3.52,232589
2024-09-09,3.52,3.53,3.51,3.52,3.52,123121
2024-09-10,3.52,3.53,3.49,3.49,3.49,121597
2024-09-11,3.49,3.49,3.46,3.46,3.46,115684
2024-09-12,3.46,3.47,3.43,3.44,3.44,159285
2024-09-13,3.44,3.47,3.43,3.46,3.46,139485
2024-09-16,3.46,3.47,3.45,3.45,3.45,171157
2024-09-17,3.45,3.47,3.45,3.47,3.47,182829
2024-09-18,3.47,3.48,3.42,3.42,3.42,101682
2024-09-19,3.42,3.43,3.42,3.43,3.43,207861
2024-09-20,3.43,3.43,3.41,3.41,3.41,229388
2024-09-23,3.41,3.46,3.41,3.46,3.46,238008
2024-09-24,3.46,3.51,3.45,3.51,3.51,228136
